Department Name,Department Number,Oracle Item Number,Item Description,UOM,Avg Daily Burn Rate,Supplier Name,Avg_Lead Time,Medline item? Y/N,On-PAR or Special Request,Level 1 Perpetual_1400,Level 1 Facilities/Biomed_1232,Level 1 EVS_1321,Level 1 ED_1229,Level 1 Imaging_1329,Level 2 Pharm_2500,Level 2 Surgery/Procedures/PACU_2209_2321_2323_2450_2200B_2450A,Level 3 Sterile Processing_3307_3309,Level 3 Food Service,Level 3 Admin,Level 3 Central Lab_3411,Respiratory Therapy,"Level 5 Observation, Medical Tele & Non-Tele_5206","Level 6 Telemetry, Cardiac & Stroke",Level 7 PCU,Level 7 ICU,"Level 8 M/S Overflow, VIP & Int'l Med","Level 9 Surgical, Non-Infectious"
Anesthesiology,7450000,802740,Circuit Anes Breathing With 3L Bag 90In,EA,0.06,Medline Industries Inc,1.0,Y,On-PAR,,,,,,,X,,,,,,,,,,,
Balance Sheet CC,0,00005,Pitcher Graduated Triangular Disposable 32oz,EA,1.62,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00009,Restraint Lmb Hld,PR,0.26,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00021,Kit Cath Suction 14fr Regu-Vac LF,EA,0.28,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00023,Kit Cath Suction 10fr Regu-Vac LF,EA,0.14,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00024,Kit Cath Suction Regu-Vac LF 8FR,EA,0.02,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00043,Tube ET Peds 4mm Uncuff Nasal/Oral Murphy,EA,0.02,Medline Industries Inc,2.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00046,Tube ET 5mm Cuffed Hi-Lo Murphy,EA,0.04,Medline Industries Inc,2.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00047,Tube ET Peds 3mm Uncuffed Nasal/Oral Murphy,EA,0.02,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00048,Tube Endotrach Ped 3.5mm Uncuff Nasal Murphy,EA,0.02,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00049,Tube ET Uncuffed Peds 2.5mm Murphy,EA,0.02,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00059,Airway Ophgeal Non-Sterile 100mm Gued 10,EA,0.58,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00060,Airway Ophgeal Non-Sterile 80mm Gued 8,EA,0.22,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00066,Airway Nasopharyngeal Sterile Latex Free PVC 28 FR,EA,0.38,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00071,Tube Trach 8FR Cuff Disp Innr Cann LF,EA,0.0,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00072,Tube Trach 10FR Cuff Disp LF,EA,0.04,Medline Industries Inc,5.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00074,Tube Trach Fenestrated 6FR Cuff  Disp Innr Cann LF,EA,0.02,Medline Industries Inc,31.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00080,Tube Trach 10FR Cuff Disp LF,EA,0.0,Medline Industries Inc,1.0,Y,On-PAR,X,,,,,,,,,,,,,,,,,
Balance Sheet CC,0,00081,Tube Trach 8FR Cuff Disp Innr Cann LF,EA,0.04,Medline Industries Inc,0.5,Y,On-PAR,X,,,,,,,,,,,,,,,,,
